first_timestamp_ms,last_timestamp_ms,src_ip,src_port,dst_ip,dst_port,protocol,label
1421931432000.0,1421931433000.0,175.45.176.2,54280,149.171.126.17,135,6,1
1421931438000.0,1421931439000.0,175.45.176.0,10947,149.171.126.10,179,6,1
1421931434000.0,1421931434000.0,175.45.176.1,47439,149.171.126.18,53,17,1
1421931439000.0,1421931439000.0,175.45.176.1,1043,149.171.126.18,53,17,1
1421931507000.0,1421931508000.0,175.45.176.0,13727,149.171.126.10,179,6,1
1421931478000.0,1421931478000.0,175.45.176.0,63899,149.171.126.10,179,6,1
1421931426000.0,1421931485000.0,175.45.176.2,31006,149.171.126.19,5060,17,1
1421931433000.0,1421931434000.0,175.45.176.2,16615,149.171.126.17,135,6,1
1421931433000.0,1421931435000.0,175.45.176.3,56583,149.171.126.11,25,6,1
1421931434000.0,1421931437000.0,175.45.176.0,48593,149.171.126.15,110,6,1
1421931434000.0,1421931435000.0,175.45.176.2,6793,149.171.126.17,135,6,1
1421931435000.0,1421931437000.0,175.45.176.1,6810,149.171.126.12,143,6,1
1421931436000.0,1421931438000.0,175.45.176.0,63559,149.171.126.10,179,6,1
1421931437000.0,1421931438000.0,175.45.176.2,47829,149.171.126.18,5600,6,1
1421931438000.0,1421931440000.0,175.45.176.3,36002,149.171.126.19,143,6,1
1421931440000.0,1421931441000.0,175.45.176.0,63790,149.171.126.10,179,6,1
1421931440000.0,1421931442000.0,175.45.176.0,43659,149.171.126.10,5190,6,1
1421931440000.0,1421931441000.0,175.45.176.2,6546,149.171.126.16,80,6,1
1421931441000.0,1421931442000.0,175.45.176.0,13755,149.171.126.10,179,6,1
1421931442000.0,1421931443000.0,175.45.176.0,56275,149.171.126.11,80,6,1
1421931442000.0,1421931446000.0,175.45.176.0,18652,149.171.126.14,110,6,1
1421931443000.0,1421931445000.0,175.45.176.0,63921,149.171.126.10,179,6,1
1421931443000.0,1421931444000.0,175.45.176.1,22204,149.171.126.11,80,6,1
1421931445000.0,1421931446000.0,175.45.176.1,50767,149.171.126.14,111,6,1
